"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007398","ectoderm development","1/1","21/18986",0.0476190476190476,904.095238095238,30.0515430235327,0.00110607816285679,0.0165911724428519,NA,"EDA2R",1
"GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","1/1","86/18986",0.0116279069767442,220.767441860465,14.8245553680529,0.00452965342884215,0.0191983566838722,NA,"EDA2R",1
"GO:0046330","positive regulation of JNK cascade","1/1","97/18986",0.0103092783505155,195.731958762887,13.9546393275816,0.0051090277046244,0.0191983566838722,NA,"EDA2R",1
"GO:0033209","tumor necrosis factor-mediated signaling pathway","1/1","119/18986",0.00840336134453781,159.546218487395,12.5915137488467,0.00626777625618857,0.0191983566838722,NA,"EDA2R",1
"GO:0046328","regulation of JNK cascade","1/1","140/18986",0.00714285714285714,135.614285714286,11.6023396655281,0.00737385441904548,0.0191983566838722,NA,"EDA2R",1
"GO:0007254","JNK cascade","1/1","177/18986",0.00564971751412429,107.265536723164,10.308517678268,0.00932265880122185,0.0191983566838722,NA,"EDA2R",1
"GO:0072331","signal transduction by p53 class mediator","1/1","183/18986",0.00546448087431694,103.748633879781,10.1365000803917,0.00963868113346666,0.0191983566838722,NA,"EDA2R",1
"GO:0071356","cellular response to tumor necrosis factor","1/1","221/18986",0.00452488687782805,85.9095022624435,9.21463522134455,0.0116401559043505,0.0191983566838722,NA,"EDA2R",1
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","1/1","223/18986",0.00448430493273543,85.1390134529148,9.17273206045586,0.0117454966817653,0.0191983566838722,NA,"EDA2R",1
"GO:0034612","response to tumor necrosis factor","1/1","243/18986",0.00411522633744856,78.1316872427984,8.78246475898414,0.0127989044559148,0.0191983566838722,NA,"EDA2R",1
"GO:0043122","regulation of canonical NF-kappaB signal transduction","1/1","305/18986",0.00327868852459016,62.2491803278688,7.82618555414251,0.0160644685557778,0.019872942816164,NA,"EDA2R",1
"GO:0007249","canonical NF-kappaB signal transduction","1/1","327/18986",0.00305810397553517,58.0611620795107,7.55388390693891,0.0172232171073421,0.019872942816164,NA,"EDA2R",1
"GO:0097193","intrinsic apoptotic signaling pathway","1/1","327/18986",0.00305810397553517,58.0611620795107,7.55388390693891,0.0172232171073421,0.019872942816164,NA,"EDA2R",1
"GO:0008544","epidermis development","1/1","393/18986",0.00254452926208651,48.3104325699746,6.87825796041226,0.020699462762035,0.0221779958164661,NA,"EDA2R",1
"GO:0043410","positive regulation of MAPK cascade","1/1","472/18986",0.00211864406779661,40.2245762711864,6.2629526799415,0.024860423469925,0.024860423469925,NA,"EDA2R",1
